S.No.,Part No.,Description,Qty
1,50211,Cloth Plate,1
2,50212,Screw for Cloth Plate,4
3,50213,Side Cover,1
4,50214,Screw for Side Cover,2
5,50215,Front Cover,1
6,50216,Front Cover Latch Spring,1
7,50217,Screw for Front Cover Latch Spring,2
8,50218,Front Cover Hinge,2
9,50219,Screw for Front Cover Hinge,4
10,502110A,Looper Thread Guide Take-Up,1
11,502111A,Screw for Looper Thread Guide Take-Up,1
12,502112A,Needle Thread Eyelet,1
13,502113A,Screw for Needle Thread Eyelet,1
14,502114A,Top Cover,1
14A,502114A-1,Gasket for Top Cover,1
15,502115A,Screw for Top Cover,4
16,502116A,Head Cover,1
16A,502116A-1,Gasket for Face Cover,1
17,502117A,Screw for Head Cover,4
18,502118A,Cloth Guide,1
19,502119A,Scrwe for Cloth Guide,2
20,502120,Oil Level Gauge,1
21,502121,Oil Receiver,1
22,502122,Oil Level Glass,1
23,502123,Body Guard Eyelet,1
24,502124,Lock Screw,2
25,502125,Front Cover Plastic Cap,1
