S.No.,Part No.,Description,Qty
1,50221,Worm Chamber Cover,1
2,50222,Screw for Worm Chamber Cover,4
3,50223,Crank Chamber Cover,1
4,50224,Screw for Crank Chamber Cover,4
5,50225,Tail Cover,1
6,50226,Screw for Tail Cover,4
7,50227,Side Cover,1
8,50228,Screw for the side cover,4
9,50229,Feed Dog Driving Rod Front Cover,1
10,502210,Screw for Feed Dog Driving Rod Front Cover,2
11,502211,Looper Holder Front Cover,1
12,502212,Screw for Looper Holder Front Cover,2
13,502213,Oil Tank,1
14,502214,Oil Tank Gasket,1
15,502215,Screw for Oil Tank,6
16,502216,Screw for Machine Foundation,4
16A,502216A,Gasket for Needle Bar,1
17,502217,Stud for Body Support,3
18,502218,Nut for Body Support Stud,3
19,502219,Eyelet for Body Support,1
20,502220,Oil Filter Screw,1
21,502221,Cover for Feed Dog Driving,1
22,502222,Washer for Machine Foundation,4
23,502223,Nut for Machine Foundation,4
24,502224,Pin for Oil Tank,2
25,502225,Stud Screw,1
26,502226,Oil Discharge Hex Bolt,1
27,502227,Washer for 502226,1
28,50221-1,Gasket for Worm Chamber Cover,1
29,50223-1,Gasket for Crank Chamber Cover,1
30,50225-1,Gasket for Tail Cover,1
31,50227-1,Gasket for Side Cover,1
