S.No.,Part No.,Description,Qty
1,50251,Pulley,1
1A,50251A,Screw for Pulley,4
2,50252,Pulley Washer,1
2A,50252A,Screw for Pulley Washer,2
3,50253,Pulley Holder,1
3A,50253A,Screw for Pulley Holder,2
4,50254,Bearing Cover,1
4A,50254A,Screw for Bearing Cover,4
5,50255,Ball Bearing - 6302ZZ,1
5A,50255A,Ball Bearing - 6302ZZ,1
6,50256,Bearing Holder Collar,1
7,50257,Crank Shaft Bearing Housing,1
7A,50257A,Screw for Bearing Housing,4
7B,50257B,Oil Sleev,1
8,50258,Key for Crank Shaft,1
9,50259,Screw for Counterweight of Crankshaft,4
10,502560,Counter Weight to Crank Shaft,2
11,502561,Counter Weight to Crank Shaft,2
12A,502562A,Crank Shaft (Right),1
12B,502562B,Crank Shaft (Left),1
13,502563,Worm Eccentric,1
14,502564,Screw for Worm Eccentric,2
15,502565,Screw for Worm Eccentric,2
18,502568,Looper Thread Take Up,2
19,502569,Screw for Looper Thread Take Up,3
20,502570,Feed Dog Regulating Control Eccentric,1
21,502571,Screw for Feed Dog Regulating Control Eccentric,2
22,502572,Screw for Feed Dog Regulating Control Eccentric,2
23,502573,Feed Dog Regulating Control Eccentric Cover,1
23A,502573-1,Screw for Feed Dog Regulating Control Eccentric Cover,1
24,502574,Feed Dog Driving Eccentric,1
25,502575,Screw for Feed Dog Driving Eccentric,2
26,502584,Looper Driving Eccentric Crank,1
26A,502585,Screw for Looper Driving Eccentric,2
27,502586,Main Shaft Bushing Right,1
