S.No.,Part No.,Description,Qty
1,50261,Throat Plate Support,1
2,50262,Screw for Throat Plate Support,2
3,50263,Throat Plate,1
4,50264,Screw for Throat Plate,2
5,50265,Needle Holder,1
6,50266,Screw for Needle,2
7,50267,Scew for Needle Holder,2
8,50268,Needle Bar,1
8A,50268A,Needle Bar Thread Eyelet,1
8B,50268B,Screw for Needle Bar Thread Eyelet,1
8C,50268C-AY,Needle Bar with Needle Holder & Thread Eyelet (5-8),1
9,50269,Needle Bar Connecting Bracket,1
9A,50269A-AY,Needle Bar Con. Bkt. With Link Set (9-13),1
10,502670,Screw for Needle Bar Connecting Link,1
11,502671,Screw for Needle Bar Connecting Bkt.,1
12,502672,Needle Bar Connecting Link Pin,2
13,502673,Needle Bar Connecting Link,1
14,502674,Needle Bar Driving Crank Bkt.,1
14A,502674A,Needle Thread Take Up,1
14B,502674B,Screw for Needle Thread Take Up,1
14C,502674C-AY,Needle Bar Driving Crank Bkt. Complete Assy.,1
15,502675,Screw for Needle Bar Conn. Link Pin,1
16,502676,Needle Bar Driving Bracket Shaft,1
17,502677,Needle Bar Driving Bkt. Shaft Collar,1
18,502678,Needle Bar Driving Bkt. Shaft Collar Washer,1
19,502679,Screw for Needle Bar Driving Bkt. Shaft Collar,3
20,502680,Scrwe for Needle Bar Driving Bkt.,1
21,502681,Screw for Ball Stud,1
22,502682,Ball Stud (for N.B.B),1
23,502683,Needle Lever Conn. Rod Bkt. Small,1
23A,502683-AY,Needle Lever Conn. Rod Bkt. Assy. Comp (22-31),1
24,502684,Screw for Needle Lever Conn. Rod Bkt.,2
25,502685,Ball Stud Guide (for N.B.B.),1
26,502686,Screw for Ball Stud Guide,1
27,502687,Nut for Needle Lever Connecting Rod (Small),1
28,502688,Needle Lever Connecting (Long),1
29,502689,Nut for Needle Lever Conn. Rod (Big),1
30,502690,Needle Lever Conn. Rod Bkt. (Big),1
31,502691,Screw for Needle Lever Conn. Rod Bkt. (Big),2
32,502692,Needle DNx1 -25/26,2
33,502693,Main Bush for H674,1
