S.No.,Part No.,Description,Qty
1,50271,Looper Holder Bracket,1
2,50272,Screw for Looper Holder Bkt.,2
3,50273,Screw for Looper Bracket (old Model),1
4,50274,Screw for Looper,4
5,50275,Looper,2
6,50276,Looper Driving Lever,1
7,50277,Screw for Looper Driving Lever,2
8,50278,Screw for Ball Stud,1
9,50279,Ball Stud for L.D.M,1
10,502780,Looper Connecting Rod Complete,1
10A,502780A-AY,Looper Connecting Rod Complete Set (9-16),1
11,502781,Screw for Looper Conn. Rod Complete Set,4
12,502782,Ball Stud Guide L.D.M.,1
13,502783,Screw for Ball Stud Guide,1
14,502784,Looper Driving Eccentric Crank,1
15 / 16,502785/86,Screw for Looper Driving Ece,2
17,502787,Looper Driving Shaft,1
17A,502787A-AY,Looper Driving Shaft Comp Assy (17-28),1
18,502788,Looper Link Holder,1
19 / 20,502789/90,Screw for Looper Link Holder,2
21,502791,Looper Driving Shaft Collar,1
22,502792,Screw for Looper Driving Shaft Collar,2
23,502793,Looper Link,1
24,502794,Looper Link Pin (long),1
25,502795,Looper Link Pin (short),1
26,502796,Looper Oscillating Lever,1
27,502797,Screw for Looper Oscillating ,1
28,502798,Screw for Looper Oscillating Lever,2
29,502799,Hook Spring,1
