Index,Part no,Description
1,D306,Bushing for D303
2,D306-1,Screw for D306
3,D412,Bushing Pressure Bar Upper
4,D412-1,Screw for D412
5,D413,Bushing Pressure Bar Lower
6,D413-1,Screw for D413
7,D503,Bushing for D500 Upper
8,D503-1,Screw for D503
9,D504,Bushing for D500 (Lower)
10,D504-1,Screw for D504
11,D504-2,Seal for D504
12,D601,Bushing Main Shaft (Rear)
13,D601-1,Screw for D601
14,D602,Bushing for D600 Main Shaft (Front)
15,D602-1,Screw for D601
16,D811-5,Oil  Distributor
17,D811-6,Washer Small for D811 - 5
18,D811-7,Washer Big for D811 - 5
19,D811-8,Copper Pipe
20,D811-9,Washer  for D811 - 8
21,D811-10,Washer for D811 - 8
22,D811-11,Oil Nipple
23,D811-12,Pipe
24,D811-14,Oil Preventive Screw Small
25,D811-15,Oil Preventive Screw Big
26,D811-16,Oil Wick
27,D811-17,Fibre Washer for D811 - 10
28,D811-18,Oil System Assy .  Comp . Set
29,DS700-4,Bush for DS700 - 3
30,DS700-5,Screw for DS700 - 4
