Index,Part no,Description
1,D300,Looper
2,D300-1,Allen Grub Screw for D300
3,D301,"Hloder , Looper"
4,D301-1,Allen Bolt for D301
5,D303,Looper Shaft (Complete with D305 Weld)
6,D304,"Collar,Looper Shaft"
7,D304-1,"Screw, Clamping for D304"
8,D305,Collar Looper Shaft (Round)
9,D306,Bushing for Looper Shaft
10,D306-1,Grub Screw  for D306
11,D307,"Arm Cam Follower (Complete with D307 - 1, D307 -  2 , D308 + D309)"
12,D307A,Arm Cam Follower(Only)
13,D307-1,Allen Grub Screw for D307
14,D307-2,Allen Bolt for D307
15,D308,"Stud , Cam Follower (Complete with D309)"
16,D309,Nut for D308
17,D310,Cam Looper Complete
18,D310-1,Screw for D310
19,D311,"Screw, Cone Point for D310"
