Index ,Part no,Description
1,D105,Guard Belt
2,D105-1,Screw for D105
3,D800,"Handle  Complete withGuard Belt (105 , 802 , 802 - 1 , 105 - 1 )"
4,D802,Micro Switch Cover
5,D802-1,Screw for D802
6,D806,Micro Switch 
7,D806-3,Micro Button Guard
8,D808-1,Wire 12 Feet Length
9,D808-2,Handle Wire Sleeve
10,D808-3,Indicator Bulb
11,D808-4,Wire Connector Stick
12,D809,Plug
13,D811,Oil Tank
14,D811-1,Screw for D811
15,D900-3,Carbon Holder with Cap Contt. Type
16,D900-4,Carbon Cap Contt. Type
17,D901,Motor Intt.
18,D903,Pulley Motor (Timing )
19,D903-1,Screw for D903
20,D906,Hinges Motor Mount
21,D906-1,Screw for D906
22,D908,Screw Locking for D906
23,D910,Timing Blet (Optibelt ZR 170 XL)
24,D913,Flexible Pipe
25,D919,Carbon Brushes with Spring Square Type
26,DS936,Nut for DS913
