Index,Part no,Description
1,D05,Needle DB * 1  200 / 25R (Groz Beckert)
2,DS05-1,Needle Guard
3,D400,Pressure Foot Complete
4,D400-1,Allen Grub Screw for D400
5,D400-2,Hinge Bolt for D400
6,D400-3,Nut for D400 - 2
7,D404,Pressure Bar
8,D405,Clamp for Pressure Bar
9,D405-1,Allen Grub Screw for D405
10,D406,Pressure Bar Lifter Lever Assy
11,D406-1, Lifter Lever 
12,D406-2,Spring for D406 - 1
13,D406-3,Bolt  for D406 - 1
14,D406-4,Lifter Eyelet
15,D406-5,Lifter Lever Stopper Stud
16,D406-6,Screw for D406
17,D414,Spring for Pressure Bar
18,D500,Needle Nar
19,D501,Needle Lock Nut
20,D502,Clamp Needle Bar Comp.
21,D502-1,Pin 
22,D502-2,Clamp
23,D502-3,Allen Bolt for D502
24,D502-4,Pin for D502 - 2
25,D505,Needle Lever
26,D505-1,Screw for D505
27,D511,Stud Needle Lever
28,D512,Bearing Cone
29,D513,Lock Nut for D512
30,D600,Main Shaft
31,D603,Collar for D600
32,D603-1,Screw for D603
33,D605,"Connecting Rod Eccentric Complete Set (D607, D610, D608)"
34,D605-1,"Screw Set for D60 (2 D610 - 3, 2 D607 - 2)"
35,D606,Allun Greb Screw for D610 - 1
36,D607,Bearing Rod End
37,D607-1,Small Ball for D607
38,D607-2,Screw for D607
39,D607-3,Guide
40,D607-4,Screw for D607 - 3
41,D608,Lock Nut for D607
42,D610,Connecting Rod Big
43,D610-1,Big Ball for D610
44,D610-2,Screw for D610 - 1
45,D610-3,Screw for D610 
46,D811-13,Oil Preventive Screw for D600
47,D905,Pulley Machine (Timing)
48,D905-1,Screw for D905
