Index,Part no,Description
1,D101,"Guard, Needle Bar"
2,D101-1,Screw for D101
3,D102,Looper Cover
3N,D102N,Looper Cover(New)
4,D103N,Cover Side Name Plate
4N,DS103,Side Name Plate(New)
5,DS103-1,Screw for Cover Side Name Plate
6,DS104,Cover of D811 - 11
7,DS104-1,Screw of Cover for D811 - 11
8,D108,Screw for Looper Cover
9,D109,Thread Eyelet
10,D113,Tension Assy Complete
11,D113-1,Tension Rod
12,D113-2,Disk for D113
13,D113-3,Spring for D113
14,D113-4,Nut for D113 - 1
15,D113-5,Screw for D113 - 1
16,D114,Tension Set Base
17,D114-1,Screw for D114
18,DS 119,Top Cover
18N,D119N,Top Cover Round
19,D119-1,Screw
20,D120,Thread Guide Rod
21,D120-2,Nut for D120
22,D120-3,Washer for D120
23,DS702-2,Thread Cutter Guard
24,DS702-3,Screw for DS702 - 2
25,D801,Allen Bolt for D800
26,D804,"Bolt, Thread Clumping"
27,D805,Nut for D804
28,D807,Thread Cone Cup
29,D807-1,Rubber Clump for D804
30,D810P,Thread Cone 
31,D815,Thread Cone Attachment
32,D906-3,Packing for D906
