Index,Part no,Description
53,T702,Knife Moving
54,T703,Knife Stationary
55,T703-1,Screw for T 703
1,T105,Guard for Belt
1A,T105-1,"Screw , Attaching for T105"
2,T910,Timming Belt
3,T905,"Pulley , Machine"
3A,T905-1,Screw for T905
4,T802,Switch Cover
4A,T802-1,"Screw , Attaching for T802"
5,T806,Micro Switch
5A,T806-1,Plastic Cover for T806
6,T800,Handle complete with Belt Cover
6A,T801,"Screw , Attaching for T800"
7,T811,Oil  Tank cum Pump
8,T808-1,3 Core Cable 12 Feet Long
9,T913,Motor Lead (Flexible Pipe)
9A,T913-1,Locknut for T913
10,T906,Hinged Motor Mount
11,T906-1,"Screw , Attaching for T906"
12,T908,"Screw , Set Locking for T906"
13,T906-3,Packing for T906
14,T903,"Timming Pulley , Motor"
15,T903-1,Screw forT902
16,T901,Motor (available in 110volt or 220volt)
17,T906-1,Screw  Attaching for T901
18,T919,Carbon Brush with Spring
19,T900-4,Carbon Brush Cap
20,T809,Plug
21,T808-2,Handle Wire Sleeve
22,T808-3,Indicator Bulb
23,T808-4,Wire Connector Stick
