Index,Part no,Description
25,T113,Tension Assembly Complete
25A,T113-1,Rod plate for T113
25B,T113-2,Tension Plate for T113
25C,T113-3,Tension Spring for T113
25D,T113-4,Tension Nut
25E,T113-5,Tension Screw
25F,T114,Thread Guide Base
26,T109,Eyelet
27,T406,Pressure Bar Clamp Lifter Lever Assembly Complete
27A,T406-1,Lifter Lever
27B,T406-2,Lifter Spring
27C,T406-3,Lifter Fixing Screw
27D,T406-4,Lifter Eyelet
27E,T406-5,Lifter Stopper Stud
27F,T406-6,Lifter Eyelet Screw
28,T513-1,Plastic cover for T 513
29,TS700,Knife Bracket Support
30,TS700-1,Screw for TS 700
31,TS700-2,Spring for Knife Moving
32,TS700-3,Shaft for Knife Moving
33,TS700-4,Bush for TS700 - 3
34,TS700-5,Screw for Bush of S700 - 3
35,TS700-6,Washer for TS700 - 1
35,TS701,Knife Bracket 
37,TS702,Knife Moving
38,TS702-1,Screw for TS 702
39,TS703,Knife Stationary
40,TS703-1,Screw for TS 703
41,T805,Thread Cone Clamp Nut
42,T807-1,Rubber Clamp
43,T804,Bolt Thread Clamping
44,T119-1,Screw for Thread Stand
45,T120-R,Thread Guide 
46,TR119,Top Cover
47,TS815,Thread Cone stand
