Index ,Part no,Description
28,T607,"Bearing , Rod End"
29,T608,Locknut for T607
30,T609,Lockwasher
31,T603,"Collar , Retaining for T600"
31A,T604,"Screw, Clamping for T603"
32,T605,Connecting Rod and EccentricComplete
32A,T605-1,"Screw, Set for T605"
32B,T606,Screw Cone point for T605
33,T602,"Bushing ,  Main Shaft , Front"
33A,T602-1,Screw for T602
34,T600,Main Shaft
35,T601,"Bushing ,  Main Shaft , Front"
35A,T601-1,Screw for T601
36,T310,"Cam , Looper Complerte"
36A,T310-1,Screw for T310
37,T308,"Stud , Cam follower (compl. with T307)"
37A,T309,Locknut for T308
38,T307,"Arm Cam follower(compl. with T308) (Available in 7.93 , 6.34mm)"
38A,T307-1,Allen Key Screw for T307 (Small)
38B,T307-2,Allen Key Screw for T307 (Big)
39,T304,"Collar , Looping Shaft (Avl. in  7.93 , 6.34mm)"
39B,T304-1,"Screw , Clamping for T304"
40,T303+5,"Shaft , Looper with Collar (Avl. in  7.93 , 6.34mm)"
41,T306,"Bushing for T303 (Avl. in  7.93 , 6.34mm)"
41A,T306-1,Screw for T306
42,T301,"Holder , Looper (Right) (Avl. in  7.93 , 6.34mm)"
42A,T302,"Holder , Looper (Left) (Avl. in  7.93 , 6.34mm)"
42B,T301-1,"Screw , Clamping for T301"
43,T300,Looper
43A,T300-1,Screw Looper set
44,T200,Feed Dog Carrier Block with Slide Compl.
45,T205-1,Lock Bolt for T205
46,T205,"Slide Block , Adjusting"
47,T206,"Stud , Slide Block  Adjusting Support"
48,T209,Locknut for T206
49,T203,Feed Dog
49A,T203-1,Screw Feed Dog Adjusting with Nut
50,T204,"Screw, Attaching for T203"
51,T701,Knife Bracket
52,T701-1,Screw for T703
