SR.no,Part no,Description
1,502111,Thread Stand Base
2,502112,Screw for Thread Stand Base
3,502113,Wooden Screw
4,502114,Main Rod
5,502115,Thread Guide Holder
6,502116,Screw for Thread Guide Holder
7,502117,Thread Guide Bar (L Type)
8,502118,Thread Guide Bar Bracket
9,502119,Thread Guide Big
10,5021110,Thread Guide Bkt.
11,5021111,Thread Lubrication Box
12,5021112,Screw for Thread Lubrication Box
13,5021113,U Foam
14,5021114,Thread Guide Stand Complete Assembly (1-13) Set
15,5021115,Eyelet  for Feed Dog
16,5021116,Plastic Roller
17,5021117,"Bolt 3/6 * 8"" Long"
18,5021118,Washer for H1117
19,5021119,Nut for H1117
20,5021120,Bush for H1117
