SR. no,Part no,Description
1,50281,Feed Bar Bracket
1A,50281A-AY,Feed Bar Bracket
2,50282,Feed Dog
3,50283,Screw for Feed Dog
4,50284,Needle Support (Guard)
5,50285,Screw for Needle Support (Guard)
6,50286,Feed Dog  Driving  Lever Link Pin
7,50287,Screw for Feed Dog  Driving Lever Link Pin
8,50288,Feed Dog  Driving  Lever
9,50289,Feed Bar 
9A,50289A-AY,"Feed Bar  Comp, (9 to 11)"
10,502810,Feed Bar Pin
11,502811,Screw for Feed Bar Pin
12,502812,Feed Bar Shaft Collar
13,502813,Screw for Feed Bar Shaft Collar
14,502814, Feed Bar Lever
15,502815, Screw for Feed Bar Lever
16,502816,Feed Dog Driving Conn. Rod Pin
17,502817,Washer for Feed Dog  Conn. Rod Pin
18,502818,Nut for Feed Dog  Conn. Rod Pin
19,502819,Feed Bar Shaft 
20,502820,Looper Driving  Lever 
21,502821,Screw for Looper Driving  Lever 
22,502822,Looper Driving  Lever  Link Pin
23,502823,Screw for Looper Driving  Lever  Link Pin
24,502824,Looper Oscillating Rod
25,502825,Ball Bearing
26,502826,Feed Dog Driving Conn. Rod 
24A,502827 AY,Looper Oscillating Rod Assy. (20-25)
26A,502828 AY,Feed Dog Driving Conn.Rod Assy
27,502829,Bush for H81
28,502830,Bush for H826
29,502831,Feed Bar Coller Ring 
30,502832,Packing for Feed Dog
31,502833,Collar Ring for H819
32,502834,Gasket for Feed Bar Assy
